index,raw_title,artist,song,feat,uploader,youtube_url,ziv,smo,google
40,inabakumori - Rainy Boots (Vo. Kaai Yuki) / 稲葉曇『レイニーブーツ』Vo. 歌愛ユキ,inabakumori,Rainy Boots (Vo. Kaai Yuki) / 稲葉曇『レイニーブーツ』Vo. 歌愛ユキ,,inabakumori,https://www.youtube.com/watch?v=G5hScSFkib4,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Rainy+Boots+%28Vo.+Kaai+Yuki%29+%2F+%E7%A8%B2%E8%91%89%E6%9B%87%E3%80%8E%E3%83%AC%E3%82%A4%E3%83%8B%E3%83%BC%E3%83%96%E3%83%BC%E3%83%84%E3%80%8FVo.+%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD%22+inabakumori,https://stepmaniaonline.net/search/title/Rainy%20Boots%20%28Vo.%20Kaai%20Yuki%29%20%E7%A8%B2%E8%91%89%E6%9B%87%E3%80%8E%E3%83%AC%E3%82%A4%E3%83%8B%E3%83%BC%E3%83%96%E3%83%BC%E3%83%84%E3%80%8FVo.%20%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD,https://www.google.com/search?q=inabakumori+Rainy+Boots+%28Vo.+Kaai+Yuki%29+%2F+%E7%A8%B2%E8%91%89%E6%9B%87%E3%80%8E%E3%83%AC%E3%82%A4%E3%83%8B%E3%83%BC%E3%83%96%E3%83%BC%E3%83%84%E3%80%8FVo.+%E6%AD%8C%E6%84%9B%E3%83%A6%E3%82%AD+stepmania+simfile+sm+download
41,神曲/R Sound Design feat. 初音ミク-Dante,,神曲/R Sound Design-Dante,初音ミク,R Sound Design,https://www.youtube.com/watch?v=_n-IayJaLt8,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E7%A5%9E%E6%9B%B2%2FR+Sound+Design-Dante%22,https://stepmaniaonline.net/search/title/%E7%A5%9E%E6%9B%B2%20R%20Sound%20Design-Dante,https://www.google.com/search?q=%E7%A5%9E%E6%9B%B2%2FR+Sound+Design-Dante+stepmania+simfile+sm+download
42,パノプティコン / 初音ミク,,パノプティコン / 初音ミク,,r-906,https://www.youtube.com/watch?v=_-Vd0ZGB-lo,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E3%83%91%E3%83%8E%E3%83%97%E3%83%86%E3%82%A3%E3%82%B3%E3%83%B3+%2F+%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF%22,https://stepmaniaonline.net/search/title/%E3%83%91%E3%83%8E%E3%83%97%E3%83%86%E3%82%A3%E3%82%B3%E3%83%B3%20%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF,https://www.google.com/search?q=%E3%83%91%E3%83%8E%E3%83%97%E3%83%86%E3%82%A3%E3%82%B3%E3%83%B3+%2F+%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF+stepmania+simfile+sm+download
43,雨とペトラ / バルーン(cover) - Eve,雨とペトラ / バルーン(cover),Eve,,Eve,https://www.youtube.com/watch?v=jU1Kl2e08wM,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Eve%22+%E9%9B%A8%E3%81%A8%E3%83%9A%E3%83%88%E3%83%A9+%2F+%E3%83%90%E3%83%AB%E3%83%BC%E3%83%B3%28cover%29,https://stepmaniaonline.net/search/title/Eve,https://www.google.com/search?q=%E9%9B%A8%E3%81%A8%E3%83%9A%E3%83%88%E3%83%A9+%2F+%E3%83%90%E3%83%AB%E3%83%BC%E3%83%B3%28cover%29+Eve+stepmania+simfile+sm+download
44,【MV】HELP!!  - Kobo Kanaeru,HELP!!,Kobo Kanaeru,,Kobo Kanaeru Ch. hololive-ID,https://www.youtube.com/watch?v=50Ura_ZcSvY,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Kobo+Kanaeru%22+HELP%21%21,https://stepmaniaonline.net/search/title/Kobo%20Kanaeru,https://www.google.com/search?q=HELP%21%21+Kobo+Kanaeru+stepmania+simfile+sm+download
45,DECO*27 - Rabbit Hole feat. Hatsune Miku,DECO*27,Rabbit Hole,Hatsune Miku,DECO*27,https://www.youtube.com/watch?v=eSW2LVbPThw,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Rabbit+Hole%22+DECO%2A27,https://stepmaniaonline.net/search/title/Rabbit%20Hole,https://www.google.com/search?q=DECO%2A27+Rabbit+Hole+stepmania+simfile+sm+download
46,AJR - Burn The House Down (Official Video),AJR,Burn The House Down,,AJR,https://www.youtube.com/watch?v=UnyLfqpyi94,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Burn+The+House+Down%22+AJR,https://stepmaniaonline.net/search/title/Burn%20The%20House%20Down,https://www.google.com/search?q=AJR+Burn+The+House+Down+stepmania+simfile+sm+download
47,Sorrow's Gap / feat. Hatsune Miku,,Sorrow's Gap /,Hatsune Miku,MIMI,https://www.youtube.com/watch?v=fztKqreP1pk,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Sorrow%27s+Gap+%2F%22,https://stepmaniaonline.net/search/title/Sorrow%27s%20Gap,https://www.google.com/search?q=Sorrow%27s+Gap+%2F+stepmania+simfile+sm+download
48,350ml Galaxy,,350ml Galaxy,,Lucky Kilimanjaro,https://www.youtube.com/watch?v=yOdwDJF1gu0,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22350ml+Galaxy%22,https://stepmaniaonline.net/search/title/350ml%20Galaxy,https://www.google.com/search?q=350ml+Galaxy+stepmania+simfile+sm+download
49,Outer Wilds OST - Travelers (All Instruments Join),Outer Wilds OST,Travelers (All Instruments Join),,Claranon,https://www.youtube.com/watch?v=YR_wIb_n4ZU,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Travelers+%28All+Instruments+Join%29%22+Outer+Wilds+OST,https://stepmaniaonline.net/search/title/Travelers%20%28All%20Instruments%20Join%29,https://www.google.com/search?q=Outer+Wilds+OST+Travelers+%28All+Instruments+Join%29+stepmania+simfile+sm+download
50,DAZBEE (ダズビー) | ‘アディオス (Adios)’ M/V,,DAZBEE (ダズビー) | ‘アディオス (Adios)’,,DAZBEE official,https://www.youtube.com/watch?v=Y732jibDixc,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22DAZBEE+%28%E3%83%80%E3%82%BA%E3%83%93%E3%83%BC%29+%7C+%E2%80%98%E3%82%A2%E3%83%87%E3%82%A3%E3%82%AA%E3%82%B9+%28Adios%29%E2%80%99%22,https://stepmaniaonline.net/search/title/DAZBEE%20%28%E3%83%80%E3%82%BA%E3%83%93%E3%83%BC%29%20%7C%20%E2%80%98%E3%82%A2%E3%83%87%E3%82%A3%E3%82%AA%E3%82%B9%20%28Adios%29%E2%80%99,https://www.google.com/search?q=DAZBEE+%28%E3%83%80%E3%82%BA%E3%83%93%E3%83%BC%29+%7C+%E2%80%98%E3%82%A2%E3%83%87%E3%82%A3%E3%82%AA%E3%82%B9+%28Adios%29%E2%80%99+stepmania+simfile+sm+download
